77:  Para cada cliente, cuenta los alquileres en los que la devolución (return_date) fue el mismo día del alquiler.
customer_id	first_name	last_name	same_day_returns
578	WILLARD	LUMPKIN	1
296	RAMONA	HALE	2
496	TYLER	WREN	1
279	DIANNE	SHELTON	1
397	JIMMY	SCHRADER	1
257	MARSHA	DOUGLAS	1
295	DAISY	BATES	1
488	SHANE	MILLARD	1
597	FREDDIE	DUGGAN	1
503	ANGEL	BARCLAY	1
373	LOUIS	LEONE	1
241	HEIDI	LARSON	1
232	CONSTANCE	REID	1
52	JULIE	SANCHEZ	1
344	HENRY	BILLINGSLEY	1
191	JEANETTE	GREENE	1
178	MARION	SNYDER	1
28	CYNTHIA	YOUNG	2
204	ROSEMARY	SCHMIDT	1
144	CLARA	SHAW	1
263	HILDA	HOPKINS	1
341	PETER	MENARD	1
85	ANNE	POWELL	1
167	SALLY	PIERCE	1
368	HARRY	ARCE	1
153	SUZANNE	NICHOLS	1
565	JAIME	NETTLES	2
135	JUANITA	MASON	1
561	IAN	STILL	1
33	ANNA	HILL	1
83	LOUISE	JENKINS	1
452	TOM	MILNER	1
45	JANET	PHILLIPS	1
392	SEAN	DOUGLASS	1
5	ELIZABETH	BROWN	1
172	BERNICE	WILLIS	1
201	VICKI	FIELDS	1
573	BYRON	BOX	1
4	BARBARA	JONES	1
228	ALLISON	STANLEY	1
315	KENNETH	GOODEN	1
331	ERIC	ROBERT	1
407	DALE	RATCLIFF	1
50	DIANE	COLLINS	1
165	LORRAINE	STEPHENS	1
374	JEREMY	HURTADO	1
366	BRANDON	HUEY	1
260	CHRISTY	VARGAS	1
87	WANDA	PATTERSON	1
208	LUCY	WHEELER	1
278	BILLIE	HORTON	1
246	MARIAN	MENDOZA	1
340	PATRICK	NEWSOM	1
81	ANDREA	HENDERSON	1
439	ALEXANDER	FENNELL	1
382	VICTOR	BARKLEY	1
435	RICKY	SHELBY	1
318	BRIAN	WYMAN	1
44	MARIE	TURNER	1
535	JAVIER	ELROD	1
460	LEON	BOSTIC	1
242	GLENDA	FRAZIER	1
429	FREDERICK	ISBELL	1
31	BRENDA	WRIGHT	1
456	RONNIE	RICKETTS	1
288	BOBBIE	CRAIG	1
188	MELANIE	ARMSTRONG	1
273	PRISCILLA	LOWE	1
491	RICK	MATTOX	1
94	NORMA	GONZALES	1
68	NICOLE	PETERSON	1
500	REGINALD	KINDER	2
356	GERALD	FULTZ	1
113	CINDY	FISHER	1
243	LYDIA	BURKE	2
467	ALVIN	DELOACH	1
2	PATRICIA	JOHNSON	1
104	RITA	GRAHAM	1
589	TRACY	HERRMANN	1
282	JENNY	CASTRO	1
176	JUNE	CARROLL	1
34	REBECCA	SCOTT	1
470	GORDON	ALLARD	1
569	DAVE	GARDINER	1
502	BRETT	CORNWELL	1
150	DANIELLE	DANIELS	1
230	JOY	GEORGE	1
506	LESLIE	SEWARD	1
384	ERNEST	STEPP	1
19	RUTH	MARTINEZ	1
549	NELSON	CHRISTENSON	1
418	JEFF	EAST	1
12	NANCY	THOMAS	1
138	HAZEL	WARREN	1
527	CORY	MEEHAN	1
583	MARSHALL	THORN	1
36	KATHLEEN	ADAMS	1
562	WALLACE	SLONE	1
355	TERRY	GRISSOM	1
406	NATHAN	RUNYON	1

