52:  Para cada cliente, cuenta en cuántas categorías distintas ha alquilado (aprox. vía film_category; requiere 4 tablas, aquí contamos películas 2006 por inventario).
customer_id	first_name	last_name	rentals_2006
5	ELIZABETH	BROWN	1
9	MARGARET	MOORE	1
11	LISA	ANDERSON	1
14	BETTY	WHITE	1
15	HELEN	HARRIS	2
21	MICHELLE	CLARK	1
22	LAURA	RODRIGUEZ	1
23	SARAH	LEWIS	1
28	CYNTHIA	YOUNG	1
29	ANGELA	HERNANDEZ	1
33	ANNA	HILL	1
41	STEPHANIE	MITCHELL	1
42	CAROLYN	PEREZ	2
43	CHRISTINE	ROBERTS	2
44	MARIE	TURNER	1
52	JULIE	SANCHEZ	1
53	HEATHER	MORRIS	2
56	GLORIA	COOK	1
58	JEAN	BELL	1
60	MILDRED	BAILEY	2
64	JUDITH	COX	1
69	JUDY	GRAY	1
73	BEVERLY	BROOKS	1
75	TAMMY	SANDERS	3
80	MARILYN	ROSS	1
83	LOUISE	JENKINS	1
87	WANDA	PATTERSON	1
91	LOIS	BUTLER	1
94	NORMA	GONZALES	1
99	EMILY	DIAZ	1
100	ROBIN	HAYES	1
101	PEGGY	MYERS	1
107	FLORENCE	WOODS	2
108	TRACY	COLE	1
111	CARMEN	OWENS	1
114	GRACE	ELLIS	1
115	WENDY	HARRISON	1
120	SYLVIA	ORTIZ	1
135	JUANITA	MASON	1
142	APRIL	BURNS	1
152	ALICIA	MILLS	1
155	GAIL	KNIGHT	2
162	LAUREN	HUDSON	1
163	CATHY	SPENCER	2
168	REGINA	BERRY	1
175	ANNETTE	OLSON	2
178	MARION	SNYDER	1
180	STACY	CUNNINGHAM	1
181	ANA	BRADLEY	1
186	HOLLY	FOX	1
188	MELANIE	ARMSTRONG	1
190	YOLANDA	WEAVER	1
191	JEANETTE	GREENE	1
192	LAURIE	LAWRENCE	1
193	KATIE	ELLIOTT	1
199	BETH	FRANKLIN	1
200	JEANNE	LAWSON	1
208	LUCY	WHEELER	2
211	STACEY	MONTGOMERY	1
213	GINA	WILLIAMSON	1
214	KRISTIN	JOHNSTON	1
215	JESSIE	BANKS	1
216	NATALIE	MEYER	2
219	WILLIE	HOWELL	1
227	COLLEEN	BURTON	1
228	ALLISON	STANLEY	2
229	TAMARA	NGUYEN	1
234	CLAUDIA	FULLER	1
236	MARCIA	DEAN	1
244	VIOLA	HANSON	1
245	COURTNEY	DAY	1
251	VICKIE	BREWER	1
252	MATTIE	HOFFMAN	1
263	HILDA	HOPKINS	1
264	GWENDOLYN	MAY	1
267	MARGIE	WADE	2
269	CASSANDRA	WALTERS	2
274	NAOMI	JENNINGS	1
279	DIANNE	SHELTON	1
282	JENNY	CASTRO	1
284	SONIA	GREGORY	2
287	BECKY	MILES	1
295	DAISY	BATES	1
296	RAMONA	HALE	1
300	JOHN	FARNSWORTH	1
315	KENNETH	GOODEN	1
317	EDWARD	BAUGH	1
324	GARY	COY	1
327	LARRY	THRASHER	1
330	SCOTT	SHELLEY	1
334	RAYMOND	MCWHORTER	1
335	GREGORY	MAULDIN	1
336	JOSHUA	MARK	1
337	JERRY	JORDON	1
349	JOE	GILLILAND	1
352	ALBERT	CROUSE	1
354	JUSTIN	NGO	2
355	TERRY	GRISSOM	1
359	WILLIE	MARKHAM	1
361	LAWRENCE	LAWTON	2
366	BRANDON	HUEY	1
369	FRED	WHEAT	1
373	LOUIS	LEONE	1
374	JEREMY	HURTADO	1
388	CRAIG	MORRELL	1
394	CHRIS	BROTHERS	1
405	LEONARD	SCHOFIELD	1
410	CURTIS	IRBY	1
411	NORMAN	CURRIER	1
412	ALLEN	BUTTERFIELD	1
417	TRAVIS	ESTEP	1
421	LEE	HAWKS	1
422	MELVIN	ELLINGTON	1
424	KYLE	SPURLOCK	1
431	JOEL	FRANCISCO	1
438	BARRY	LOVELACE	1
440	BERNARD	COLBY	1
441	MARIO	CHEATHAM	1
448	MIGUEL	BETANCOURT	2
450	JAY	ROBB	1
452	TOM	MILNER	1
457	BILL	GAVIN	2
472	GREG	ROBINS	1
474	DUSTIN	GILLETTE	1
476	DERRICK	BOURQUE	1
479	ZACHARY	HITE	1
493	BRENT	HARKINS	1
495	CHARLIE	BESS	1
496	TYLER	WREN	1
497	GILBERT	SLEDGE	1
505	RAFAEL	ABNEY	1
508	MILTON	HOWLAND	1
512	CECIL	VINES	1
516	ELMER	NOE	2
521	ROLAND	SOUTH	1
525	ADRIAN	CLARY	1
527	CORY	MEEHAN	1
530	DARRYL	ASHCRAFT	1
532	NEIL	RENNER	1
533	JESSIE	MILAM	1
534	CHRISTIAN	JUNG	1
537	CLINTON	BUFORD	1
548	ALLAN	CORNISH	1
550	GUY	BROWNLEE	1
557	FELIX	GAFFNEY	1
560	JORDAN	ARCHULETA	2
561	IAN	STILL	1
568	ALBERTO	HENNING	1
570	IVAN	CROMWELL	1
576	MORRIS	MCCARTER	2
579	DARYL	LARUE	1
582	ANDY	VANHORN	1
585	PERRY	SWAFFORD	1
587	SERGIO	STANFIELD	1
590	SETH	HANNON	1
592	TERRANCE	ROUSH	1
596	ENRIQUE	FORSYTHE	1
597	FREDDIE	DUGGAN	1

